,positions,locations,company_names,posted_dates,descriptions
4,SAP Retail Data Scientist/Data Architect,Remote,Ameri100,Posted 11 days ago,"Role: SAP Data Scientist UDF Start Date: ASAP End Date: 6 Week Location: Remote / Dallas, TX Description: Need help tuning promotion and inventory/sales forecasting (Data is loaded but uncertain how clean it is. 1) SAP Retail Data Scientists to evaluate the characteristics of product Demand Influencing Factors (DIFs) such as promotions. 2) SAP Retail Data Scientist to identify when sales is affected by public holidays like Christmas/Thanksgiving &other calendar events and suggest how they sh"
5,Data Scientist UDF,Remote,"Advent Global Solutions, Inc.",Posted 6 days ago,"Hello, Greetings of the day……!! I hope you are doing great. I found your candidature one of our job portals, could you find below job description with our client and let me know if you are interested, if yes, could you share your resume also let me know best number and time to reach you. Look forward to hearing back from you soon. Job Roles : Data Scientist UDF Location : Remote/Dallas, TX Tax Term: C2C/1099/W2 Duration: 1 Month Start date : 12/21/2022 (start date is ASAP) End date:"
6,Data Scientist (ML Engineer),"Jersey City, NJ, USA",SPECTRAFORCE TECHNOLOGIES Inc.,Posted 10 days ago,"Role: Machine Learning Engineer Location: Westlake, TX (1 week onsite/Month) Duration: 12+ Months W2 Only Must Haves: Python (programing building a model EDA and data analytic) Analytics – analytical mindset to find out patternsSnowflake – Big DataThe Expertise and Skills You BringBS/MS in Engineering, Computer Science or Data ScienceStrong Problem Solver and Mathematical thinkingStrong analytic skills related to working with both structured and unstructured datasets.1-5 years of software deve"
7,Data Scientist with Medicaid Experience,"Jackson, MS, USA","Datasoft Technologies, Inc.",Posted 10 days ago,"Data Scientist Onsite About the Job Duration: 3 years w/ possible extensionLocation: Jackson, Mississippi Pay rate: HourlyJob ID: 112566 Overview DataSoft Technologies is seeking a Data Scientist for our clients in Jackson, MS. Requirements: 7 years working as a data scientist with Information Technology (IT) projects.3 years' experience working with Medicaid programs to develop organizational data strategy and improve data qualityby reinforcing data integrity3 years' experience with b"
8,Sr Data Scientist,Remote,Xoriant Corporation,Posted 11 days ago,"* Use analytics, statistical software, and database technologies such as Python, SQL, R, Spark, Hadoop and others to analyze, review and interpret complex data * Uses a flexible, analytical approach to design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data * Build and maintain production-ready machine-learning models * Identify drivers of patterns/behaviors uncovered in data * Engage with subject-matter experts to explore busin"
9,Data Scientist,"San Francisco, CA, USA",PETADATA,Posted 1 hour ago,Work Authorization: Those authorized to work in the United States are encouraged to apply. We are able to sponsor H1-B at this time. Job Summary: This position will provide professional-level business process support and analysis for major initiatives that support the Data Analytics Workstream of the Information Technology Advisory Committee. This position will contribute to the design and implementation of a branch wide data governance model and will review the current data and analytic portfo
10,Senior Data Scientist -SAS,Remote,Ztek Consulting,Posted 12 days ago,Senior Data Scientist -SAS·PhD (or MS +18 months experience) ) in Statistics or other related quantitative field involving quantitative analysis and application of advanced statistical methods ·Experience with statistics and/or forecasting and/or machine learning techniques ·Experience in model prototyping through use of statistical package(s) including SAS ·Experience with R and/or Python·Previous applied knowledge or experience with one or more of the following: ·Gradient boosting models ·ML o
11,Sr. Data Scientist,Remote,Third Eye Consulting Services & Solutions LLC.,Posted 18 days ago,"ThirdEye is looking for a Sr. Data Scientist with a minimum of 5-7 years of experience. In this role, the candidate should be highly analytical with a knack for analysis, math, and statistics. Critical thinking and problem-solving skills are essential. RESPONSIBILITIES The responsibilities include analyzing large volumes of telemetry data to discover trends and patterns, building predictive models and machine-learning algorithms, and proposing solutions and strategies to business challenges."
12,Data Scientist,"Portland, OR, USA",Metasys Technologies,Posted 7 days ago,"Job Title: Data Scientist Location: Portland OR, United States Duration: 6 Months (Extendable) JOB DESCRIPTION General Purpose Provides technical support on complex and business critical projects related to wildfire mitigation, asset performance, and T&D Operations across six states. Leverages large quantities of data, such as weather, environmental, outage, vegetation, and grid attributes, to inform long term risk analysis and aid in decision making. Works alongside senior leadership to de"
13,Data Scientist,Remote,DevCare Solutions,Posted 26 days ago,"Basic Requirements Master's Degree in Statistics, Economics, Data Science, or related field. 3 years of experience working in financial services, retail, healthcare, telecommunications, consulting, or similar. 3 years of experience working in statistical programming with Python, R, or another similar language. Preferred Skills and Characteristics PhD in Statistics, Economics, Data Science, or related field preferred. Experience with programming languages such as Python, Java, or C++ in a data"
14,Data Scientist,Remote,Neal Analytics LLC,Posted 11 days ago,"Technical skills • Strong programing skills in at least one numerical computing language: Python or R• Working understanding in areas of traditional statistical analysis, Bayesian modeling, traditional ML, Deep Learning, RL and optimization. Deep specialization in at least one of these areas (preferably Bayesian Modeling or Optimization techniques)• Working knowledge of coding best practices – version control, code linting and testing, etc.• Working knowledge of Cloud environments• Has some data"
15,Lead Data Scientist,Remote,Redhorse Corporation,Posted 14 days ago,"Now is a great time to join Redhorse Corporation. Our mission is to change the way government interacts with and uses data and technology. Our purpose is to help government to better serve its citizens. Redhorse Corporation offers a proven approach to mission-focused innovation. Design thinking helps us understand customer problems and develop better ways to solve them. Lean Startup lets us turn those ideas into business models that work, quickly and for the least cost. Our world class data"
16,Data Scientist,"Jacksonville, FL, USA",Avesta Computer Services,Posted 21 days ago,"Job Title: Data Scientist Corporate Title: Associate Location: Jacksonville, FL Overview Having a highly experienced and dedicated Anti Financial Crime (AFC) function, which performs a crucial role in keeping business operations and global financial services clean from financial crime while serving the interests of the Bank and society. Our regional/global matrix structure allows for flexible responses to challenges in the core areas of: Anti-Money Laundering (AML), Sanctions & Embargoes, Anti-"
17,Data Scientist,"Dallas, TX, USA",Quinnox Inc,Posted 10 days ago,"Data scientist w/ Insurance domain Job Responsibilities - The candidate will be responsible for developing predictive models using wide range of data sources (both structured and unstructured) - The ideal candidate would be adept at understanding customer's business challenges and define appropriate analytics approach - Candidate should possess good communication and can communicate effectively with a wide range of audiences, both technical and business - Ability to accurately comprehend busine"
18,Data Scientist,"Boston, MA, USA",OpenTeQ Inc,Posted 25 days ago,"Role: Data Scientist Location: MA (Hybrid in Boston or Webster) Bonus: Eligibility target 7-10% This is a high level Data Science role on our Advanced Analytics team. You will work in a highly collaborative environment, influencing projects that are highly visible, with a direct impact on company strategy. Leading the use of Machine Learning/ Deep Learning.High knowledge in Spark/pyspark.Nice to have: Ensure the creation of graph features that add value to ML models. Work autonomously on adv"
19,Data Scientist- W2 Only,Remote,Empower Professionals,Posted 13 days ago,"Role: Data Scientist Location: Remote Duration: 12+ Months W2 only Top 3 skills: Data Science, Statistical modeling and experience in production Responsibilities: Lead and participate in the design and implementation of large and/or architecturally significant applications Champion company standards and best practices; work to continuously improve software delivery processes and practices Build partnerships across the application, business and infrastructure teams Develop programming spec"
0,Lead Data Scientist,Remote,Purple Drive Technologies LLC,Posted 11 days ago,"·Advanced degree (MS, PhD, or equivalent) in Operations Research or a related quantitative field ·4+ years (or 3+ years if PhD) of airline or related business experience at successive levels in analytical fields solving complex business problems ·2+ years of proven ability in innovation to create business value through mathematical programming, statistics, and/or econometric modeling ·3+ years of in-depth experience in model prototyping through use of optimization toolkit(s)/machine learning inc"
1,Data Scientist (Expert)-Data & Analytics-IT-Corp-US,"St. Louis, MO, USA",Experis,Posted 3 days ago,"Hiring for Data Scientist Hybrid to STL (Twise or thrise in a month) Job Description - Algorithm scripting in Optimization Models Focus Data Scientist A potential candidate is expected to: * Design prescriptive type analytical models using python docplex, commercial languages/systems/solvers (OPL, CPLEX, IBM DOC), ad-hoc heuristics or metaheuristics. * Clearly be able to define and articulate objective function and constraints of such business problems that are aligned with broader company go"
2,Data Scientist,Remote,"Softworld, Inc.",Posted 19 days ago,"Job Overview Develops data science/AI/ML solutions to complex business challenges Utilizes advanced data science tools and skills to interpret, connect, predict, and make discoveries in data Uses predictive modeling to increase and optimize customer experiences, efficiencies, process improvements, and other business outcomes May coach and review the work of less-experienced professionals Manages and analyzes large and/or complex datasets. Provides support in capturing and defining any requiremen"
3,Data Scientist,"Pasadena, CA, USA",Odesus,Posted 11 days ago,"Large aerospace and defense company is looking to hire a Data Scientist for their Pasadena, CA location in support of space projects. This is a 12+ month contract that will be fully onsite in Pasadena. The company is seeking an experienced, highly motivated Data Publication Engineer to support an exciting project. The selected candidate will participate in publication of physical oceanographic datasets along with tools/services integration within a publicly accessible archive. Candidate should"
4,Data Scientist with TS Clearance,"Columbia, MD, USA","Pragmatics, Inc.",Posted 17 days ago,"Pragmatics, Inc. is seeking a highly qualified Data Scientist supporting our direct client. The client location is Columbia MD.As a Data Scientist , you’ll be providing and oversee data creation, analysis, and dissemination efforts to support to Special operations. Requires strong technical and computational skills - engineering, physics, mathematics, coupled with the ability to code design, develop, and deploy sophisticated applications using advanced unstructured and semi-structured data anal"
5,Data Scientist,Remote,CyberData Technologies,Posted 40 days ago,"Title: Data Scientist Location: Remote This position serves as a data analyst (Data Scientist) providing a range of analytical support for multiple aviation related Code of Federal Regulation (CFR) parts. Utilizes simple and complex analytical techniques, data mining, and statistical analysis in the development of solutions to enhance risk-based, data supported decision-making processes. Description: Provide analytical support for the planning, design, developmen"
6,Sr. Data Scientist,Remote,Alleare Consulting,Posted 7 days ago,"Sr. Data Scientist Contract-to-Hire Dallas, TX (remote option) SUMMARY We have an exciting new job opening for a Sr. Data Scientist to join our client’s growing IT team. This is a great opportunity to join a global company that is currently going through a huge software expansion. The Senior Data Scientist is responsible for the implementation of technical solutions for the identification of complex patterns in large, high-dimensional/high-frequency data sets. This role requires an enterpris"
7,Data Scientist,"Fort Worth, TX, USA",Consulting Solutions LLC,Posted 60+ days ago,"Data Scientist FT Worth Texas – Zip Code 76131 – 50% Onsite and 50% Remote Day 1 Contract The Data Scientist will assist in our efforts to expand our capabilities within Positive Train Control analytics. This role will use analytical, statistical, and programming knowledge to collect, analyze and interpret large data sets. Experienced candidate needs to be innovative and show proven ability to work independently on big projects. Candidate should be very comfortable working with unstructured"
8,Data Scientist,"Chicago, IL, USA",Aditi Staffing LLC,Posted 6 days ago,"Job Title: Data Scientist Duration: 12 months Location: Chicago IL - Hybrid Must Have Required: Technical Skills *Python - 5+ years of experience applying python libraries Pandas, NumPy, Matplotlib, Scikit-learn, Keras, and TensorFlow to solve business challenges *2+ years exp with Snowflake and SQL Experience with advanced data analysis and statistical methods such as regression, hypothesis testing, ANOVA, statistical process control, etc. Familiarity with Agile (scrum, tickets, sprint, review"
9,Data Scientist,Remote,"ADG Tech Consulting, LLC.",Posted 27 days ago,"Position: Mid-level AI/Machine Learning Engineer Location: 100% REMOTE Customer: USCIS Clearance: US Citizenship with ability to obtain Secret clearance Job Responsibilities Include: Building and maintaining an AI/ML Use Case Inventory of current and potential AI/ML use cases.Developing, communicating, and executing high-level strategy for agency-wide AI/ML adoption to include the maturation of an existing AI/ML Center of Excellence.Collaborating with business unit representatives to mature the"
10,Data Scientist,Remote,Gangl Hospitality,Posted 6 days ago,"About Us Gangl Hospitality is the leader in hospitality in North Dakota. Our properties include hotels, restaurants and travel services. Our mission is simple – to provide the very best service to our customers. Job Summary You must be adept at using large data sets to find opportunities and using models to test the effectiveness of different courses of action. Experience in data analysis, visualization, building and scaling models is imperative. You will use your proven ability to drive busines"
11,Data Scientist,Remote,Technova Systems Inc.,Posted 6 days ago,Data Scientist- Remote Duration: 12 months Pay : DOE Around 8+ years of experience with Business Intelligence Experience Required for This Role Data Research & Analysis – at least 3 years of measurable experience in the following: • Analyzing data and customer metrics to fulfill specific business goals • Using data to help teams improve functionality and operations • Developing and applying data models to improve the collection and analysis of data • Bridging the divide between tech
12,Data Scientist,Remote,"Carita Tech, Inc",Posted 7 days ago,"Hi, Please check the below job description and share with me suitable resumes. Job - Title: Data Scientist Location: Remote Duration: 6+ Months Job Description: Competencies Required: Considerable experience using statistical computer languages (R, Python, etc.) Considerable experience working with and creating data architectures. Considerable knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advanta"
13,Data Scientist,"Los Angeles, CA, USA",Robert Half,Posted 3 days ago,"Description Data Scientist $100K - $130K + benefits Remote anywhere in the US Technical skills: Python, Data Science, NumPy, Scipy, Python Flask, Power BI, Tableau We are seeking an experience Data Scientist with eCommerce experience. This is a permanent position that will be remote in the U.S. Ideal candidates will be available to work Pacific Time Zone. What you get to do every day: • Develop algorithms and automated processes to cleanse, integrate and analyze complex datasets to identif"
14,Data Scientist,"Apex, NC, USA","ConsultNet, LLC",Posted 4 days ago,"Job Description Data Scientist Direct Hire Research Triangle, NC $130K-$140K/year Position Summary Actively seeking a Data Scientist to join a growing Biotech Company. The ideal candidate will be familiar with Data Analytics and working with large Data Sets. Candidate should be comfortable working in a team, as they will be one of 3 Data Scientists working alongside Data Engineers in support of their client . This creative role where visualization, storytelling, partnership, and team interacti"
15,Data Scientist,"Richmond, VA, USA",Apex Systems,Posted 4 days ago,"Job#: 1318400 Job Description: Contract to Hire Data Scientist Send all resumes to Lorenzo at General Summary: Our client is currently seeking a Data Scientist to join our Information Technology Services Department. The Data Scientist will provide transactional, operational, and analytical data preparation in support of the client's data warehouse and BI systems. The Data Scientist will enrich and optimize the client's existing datasets and data infrastructure for more responsive data deliveries"
16,Data Scientist - 100% Remote,Remote,FlairTech Solutions,Posted 38 days ago,"Role: Data Scientist Location: Remote Job Description: Education: MS in analytics or statistics, MPH (biostatistics or epidemiology), MBA/MHA with analytics concentration, or graduate degree in social sciences with quantitative research experiences (e.g. economics, psychology, etc.) Experience: o Industry: any, but preferably healthcare, retail, and consulting o Functional area: any analytics areas, preferably with exposure to product analytics, marketing analytics and data science (traditio"
17,Data Scientist,"Columbus, OH, USA",Apex Systems,Posted 4 days ago,"Job#: 1316933 Job Description: Data Scientist - AWS Focus The client is making a huge investment in AI and we're looking for expert Data Scientists to lead us into the next generation of banking. We are reimagining how data is used across the bank to better serve our customers, support our communities, and make our colleagues' lives better. Our goal is to be the Best performing Regional Bank in America, and we need data and analytics to meet that goal. As we advance our data science and analyt"
18,Data Scientist,Remote,Conch Technologies,Posted 5 days ago,"Hi, Have a role open with Walmart for a Data Scientist DATA SCIENTIST Hybrid, 1-2 times a week I can take relo's but need to be ready by day 1 In San Bruno, California Preference to local candidates in theses cities San Bruno, CA Los Angeles, CA Chicago, IL Hoboken, NJ Bentonville, AR Needs: PYTHON/R/SQL Data Science MASTERS in comparable field of study Job Description: Description: Responsibilities Perform hands-on modeling and complex analyses using Python, SQL and/or R Build and"
19,Remote Data Scientist,Remote,PSCI,Posted 6 days ago,"PSCI has a Remote Data Scientist contract role for a retail client Must haves: 3-5 years experience Putting together Visualizations (Power BI)Languages: PythonTools: Power BI Looking for hands on data scientist/analystDoesn't need retail experience but needs to be comfortable with HR Data SetsVery flexible, okay with push back and changes to dashboardWants Power BI SME who is comfortable working with HR data setscomfortable working with raw data sets to develop dashboards1:2 Dimensional dis"
0,Data Scientist (TS/SCI CI Poly),"Reston, VA, USA",BDR Solutions LLC,Posted 19 days ago,"BDR Solutions, LLC, (BDR) supports the U.S. Federal Government in successfully achieving its mission and goals. Our service and solution delivery starts with understanding each client's end-state, and then seamlessly integrating within each Agency's organization to improve and enhance business and technical operations and deployments. BDR is seeking a Data Scientist-Mid to join our growing team! This position will be required to work on-site in Reston, VA. This position requires US Citizensh"
1,Data Scientist,"St. Louis, MO, USA","Judge Group, Inc.",Posted 6 days ago,"Location: St. Louis, MO Description: *W2 Applicants Only - Cannot Support C2C* Our client is currently searching for a Data Scientist to design prescriptive type analytical models using python docplex, commercial languages/systems/solvers (OPL, CPLEX, IBM DOC), ad-hoc heuristics or metaheuristics. Responsibilities • Clearly be able to define and articulate objective function and constraints of such business problems that are aligned with broader company goals. • Execute benchmarking studie"
2,Fraud Data Scientist/Fraud Data Analyst,Remote,"American Cybersystems, Inc.",Posted 25 days ago,ACS Solutions has an immediate need for a [Fraud Data Scientist/Fraud Data Analyst] with experience in the [Information Technology- (Optional)] Industry. This is a contract opportunity (with long-term potential) and is located in [Remote-USA]. Our client is a leading [American multinational corporation] company. Please review the job description below: Top Skills: 10+ Years’ experience as Fraud Daya Analyst / Fraud Data Scientist in a BankExperience in SQL & Splunk Programming LanguagesTableau
3,Data Scientist,Remote,Duke Staffing,Posted 4 days ago,"THIS POSITION IS 100% REMOTE BASED, PLEASE REVIEW ALL THE SKILLS Experience Required for This Role Data Research & Analysis – at least 3 years of measurable experience in the following: • Analyzing data and customer metrics to fulfill specific business goals • Using data to help teams improve functionality and operations • Developing and applying data models to improve the collection and analysis of data • Bridging the divide between technical and business teams through data • Co"
4,Data Scientist,"Jackson, MS, USA",Intuites,Posted 10 days ago,"Posting title- Data Scientist - MS Medicaid Location: Jackson, MS Duration: Long Term Remote vs. Onsite: Preference will be given to candidates who can work 40 hours a week at the DOM office, located in Jackson MS, for the duration of the contract. Alternatively, candidates who travel will be considered, however, they will be required to be in the office, in Jackson, MS, every other week, for the duration of the contract. If candidates are traveling, please propose fully loaded rate. DO NOT S"
5,Senior Data Scientist (Hybrid) (14664),"McKinney, TX, USA",Globe Life And Accident Insurance Company,Posted 23 days ago,"Support high level objectives for acquisition, retention, cross-selling, and profitability by identifying, designing, and implementing advanced analytic projects utilizing techniques in statistical modeling and machine learning. Responsible for end-to-end process i.e., strategy to deployment and reporting. Creating a business solution with a holistic view and find effective ways to achieve the end goals. Primary Duties & Responsibilities Implement machine learning and data mining algorithms to"
6,Data Scientist,Remote,"Career Guidant, Inc",Posted 14 days ago,"Data Scientist Location: New York (Remote) 12+ Months Top skills for the role: o Programming experience – Python, etc. o Presentation skills o Understanding of media is a huge plus o Prior media/streaming experience, business project (results listed out/models), modelling experience, true data science experience. Qualifications: • Minimum 3 years of applied work experience in BI, Analytics, and/or Data Science. Hands on experience analyzing and mining large datasets. Eligibility Requirements:"
7,NASA Data Scientist,"Virginia Beach, VA, USA",SAIC,Posted 2 days ago,"Job ID: 2218447 Location: VIRGINIA BEACH , VA , US Date Posted: 2022-12-23 Category: Information Technology Subcategory: Data Scientist Schedule: Full-time Shift: Day Job Travel: No Minimum Clearance Required: None Clearance Level Must Be Able to Obtain: Public Trust Potential for Remote Work: No Description The EAST 2 contract is seeking a Data Scientist to support NASA's Information, Data, & Analytics Services (IDAS) team. The team is seeking a motivated individual with a diverse bac"
